Cited_app_nbr,App_nbr_x,count,Longitude,Latitude,App_nbr_y,end_Longitude,end_Latitude,count_sum,cited_Longitude,cited_Latitude,log,size
EP20030251105,EP20160180301,3,-0.133981,51.505933,EP20030251105,-0.180992,50.837561,3,-0.180992,50.837561,0.477121255,0.152129817
EP20030256275,EP20050255039,1,-1.244169,50.865665,EP20030256275,-1.244169,50.865665,4,-1.244169,50.865665,0.602059991,0.429645542
EP20070250175,EP20100177555,3,-0.612113,51.240262,EP20070250175,-1.854033,50.868631,8,-1.854033,50.868631,,
EP20030256375,EP20130250056,5,-2.658767,50.933703,EP20030256375,-2.658767,50.933703,5,-2.658767,50.933703,0.698970004,0.257599176
EP20100250016,EP20110250061,4,-2.770922,50.977753,EP20100250016,-2.770922,50.977753,11,-2.770922,50.977753,1.041392685,0.64970222
EP20130164851,EP20140181821,7,-1.307147,51.061029,EP20130164851,-1.307147,51.061029,7,-1.307147,51.061029,0.84509804,0.373134328
EP20040101715,EP20100010694,16,-0.180569,51.132698,EP20040101715,-0.180569,51.132698,16,-0.180569,51.132698,1.204119983,0.997506234
EP20010308651,EP20030254263,5,-0.614224,51.240557,EP20010308651,-0.614224,51.240557,8,-0.614224,51.240557,0.903089987,1.292307692
EP20020252880,EP20110704834,3,-1.091755,51.248293,EP20020252880,-1.091755,51.248293,3,-1.091755,51.248293,0.477121255,0.151209677
EP20120192028,EP20140197456,6,-1.060922,51.297462,EP20120192028,-1.060922,51.297462,8,-1.060922,51.297462,0.903089987,0.448179272
EP20060100913,EP20100195974,2,-0.831101,51.298207,EP20060100913,-0.831101,51.298207,33,-0.831101,51.298207,1.51851394,5.893909627
EP20060117245,EP20070150157,3,-0.141604,51.497421,EP20060117245,-0.736357,51.318202,3,-0.736357,51.318202,0.477121255,0.151438667
EP20120195423,EP20150196447,4,-1.060922,51.297462,EP20120195423,-1.30574,51.405001,4,-1.30574,51.405001,0.602059991,0.205233453
EP20060714195,EP20050765069,2,-1.319747,51.416719,EP20060714195,-1.319747,51.416719,36,-1.319747,51.416719,1.556302501,2.967121091
EP20010300673,EP20020255232,5,0.436239,51.421943,EP20010300673,0.436239,51.421943,23,0.436239,51.421943,1.361727836,1.385390428
EP20020258003,EP20050746736,12,-0.103999,51.513529,EP20020258003,-2.748164,51.438979,12,-2.748164,51.438979,1.079181246,0.699708455
EP20050251504,EP20160177438,5,-2.574941,51.509749,EP20050251504,-2.574165,51.458457,5,-2.574165,51.458457,0.698970004,0.258264463
EP20030251229,EP20110173072,1,-2.000103,52.442366,EP20030251229,-1.551236,51.475668,1,-1.551236,51.475668,0.1,0.04982561
EP20070150157,EP20110158744,3,-0.147781,51.498571,EP20070150157,-0.141604,51.497421,3,-0.141604,51.497421,0.477121255,0.152361605
EP20110159968,EP20150188502,8,-0.135641,51.498091,EP20110159968,-0.135641,51.498091,569,-0.135641,51.498091,3.755112266,98.87640449
EP20060255950,EP20120152509,7,-0.135641,51.498091,EP20060255950,-0.135545887,51.49811565,9,-0.135545887,51.49811565,0.954242509,1.323706378
EP20050252320,EP20100275049,2,-0.133981,51.505933,EP20050252320,-0.13812,51.499229,2,-0.13812,51.499229,0.301029996,0.100300903
EP20110716020,EP20120753570,2,-0.133981,51.505933,EP20110716020,-0.133981,51.505933,2,-0.133981,51.505933,0.301029996,0.100401606
EP20120165221,EP20160183430,5,-2.574941,51.509749,EP20120165221,-2.574941,51.509749,29,-2.574941,51.509749,1.462397998,1.724137931
EP20070114131,EP20040768097,10,-0.139251,51.512734,EP20070114131,-0.139251,51.512734,17,-0.139251,51.512734,1.230448921,0.779727096
EP20100175548,EP20130168428,7,-0.138293,51.514679,EP20100175548,-0.138293,51.514679,41,-0.138293,51.514679,1.612783857,4.690117253
EP20070253962,EP20130168428,7,-0.138293,51.514679,EP20070253962,-0.1383756,51.5147979,7,-0.1383756,51.5147979,0.84509804,0.377562028
EP20010308054,EP20100252205,18,-0.097917,51.515524,EP20010308054,-0.097917,51.515524,78,-0.097917,51.515524,1.892094603,19.94002999
EP20020027788,EP20060015959,1,-0.146459657,51.5169393,EP20020027788,-0.146389,51.516903,1,-0.146389,51.516903,0,0.049800797
EP20060252591,EP20070254718,2,-0.213709,51.288592,EP20060252591,-0.143799,51.518561,2,-0.143799,51.518561,0.301029996,0.100200401
EP20030789560,EP20060124258,3,-0.144055085,51.4893335,EP20030789560,-0.113418,51.518841,3,-0.113418,51.518841,0.477121255,0.1525941
EP20010983260,EP20060076216,3,-0.342591,51.548904,EP20010983260,-3.2267389,51.5305933,3,-3.2267389,51.5305933,0.477121255,0.150753769
EP20030255093,EP20070251526,6,-0.757974,51.578828,EP20030255093,-2.576293,51.540467,6,-2.576293,51.540467,0.77815125,0.312337324
EP20010911671,EP20010983260,3,-3.2267389,51.5305933,EP20010911671,-0.342591,51.548904,3,-0.342591,51.548904,0.477121255,0.151668352
EP20020252601,EP20070107574,3,-0.757974,51.578828,EP20020252601,-0.757974,51.578828,6,-0.757974,51.578828,0.77815125,0.598086124
EP20030722704,EP20030727672,3,-1.049022,52.15465,EP20030722704,-1.293972,51.621233,3,-1.293972,51.621233,0.477121255,0.150981379
